company,ecosystem,contact_status,response_class,conversation_date,workflow_step,jobs_or_work_orders_per_month,permit_research_share_pct,candidate_preflights_per_month,address_aware_needed,monthly_call_band,price_reaction_025,price_reaction_050,requested_jurisdictions,requested_project_families,pilot_scopes_provided,pilot_calls,integration_status,evidence_level,evidence_timeframe_days,evidence_denominator_count,historical_samples_provided,observed_external_calls,paid_signal,notes
iPermit,ServiceTitan,sent,,2026-08-27,,,,,,,,,,,,,awaiting_reply,E0,,,,,,Sent initial validation email to STSupport@iPermitUSA.com.
Provizual,Procore,sent,,2026-08-27,,,,,,,,,,,,,awaiting_reply,E0,,,,,,Sent initial validation email to sales@provizual.com.
AppWork,AppFolio,sent,,2026-08-27,,,,,,,,,,,,,awaiting_reply,E0,,,,,,Sent initial validation email to sales@appworkco.com.
SyncEzy,Procore,sent,,2026-08-27,,,,,,,,,,,,,awaiting_reply,E0,,,,,,"Sent initial validation email to support@syncezy.com; public sales route also exists, so avoid duplicate resend unless follow-up is warranted."
Calance,Procore / AppFolio / Autodesk / Northspyre,sent,,2026-08-27,,,,,,,,,,,,,awaiting_reply,E0,,,,,,Sent evidence-seeking validation email to connect@calance.com.
Outbuild,Procore,sent,,2026-08-27,,,,,,,,,,,,,awaiting_reply,E0,,,,,,Sent evidence-seeking validation email to sales@outbuild.com.
PermitFlow,Procore,sent,,2026-08-27,,,,,,,,,,,,,awaiting_reply,E0,,,,,,Sent wedge-validation email to sales@permitflow.com; requested bounded workflow evidence or historical examples.
Pulley,Procore,sent,,2026-08-27,,,,,,,,,,,,,awaiting_reply,E0,,,,,,Sent evidence-seeking validation email to hello@withpulley.com; requested recent volume range or anonymized historical scopes.
Jobber,Jobber,sent,,2026-08-27,request/quote/job preflight,,,,,,,,,,,,eligibility_check,E0,,,,,,"Sent technical Marketplace/scoping eligibility question to api-support@getjobber.com. Technical feasibility outreach, not demand evidence."
Buildxact,Buildxact,sent,support_routing,2026-08-27,estimate/quote preflight,,,,,,,,,,,,routed_to_sales,E0,,,,,,AI support first supplied REST API/staging facts; later human support routed inquiry to sales/demo. No bounded workflow evidence. Do not upgrade above E0.
MaintainX,CMMS,sent,automated_ack,2026-08-27,,,,,,,,,,,,,support_ticket_open,E0,,,,,,Automated support ticket acknowledgment #62973 only.
Fiix,CMMS,sent,,2026-08-27,,,,,,,,,,,,,awaiting_reply,E0,,,,,,Sent workflow-incidence validation email to sales@fiixsoftware.com.
Association of Professional Builders,builder association / Buildxact ecosystem,sent,,2026-08-27,pre-estimate permit applicability,,,,,,,,,,,,awaiting_reply,E0,,,,,,Asked for bounded permit-applicability research incidence or 5–20 representative anonymized historical scopes.
Ontario Home Builders' Association,Ontario builder association,sent,,2026-08-27,pre-estimate permit applicability,,,,,,,,,,,,awaiting_reply,E0,,,,,,"Asked routing to Manager, Renovator & Regulatory Affairs and requested bounded recent count/timeframe or 5–20 de-identified scopes."
CHBA Renovation Market Index,renovation industry research,sent,,2026-08-27,pre-application permit research,,,,,,,,,,,,awaiting_reply,E0,,,,,,"Asked whether Spring 2026 RMI captured permit-required share, pre-application research time, permit discovery after quote, or quote/scope/schedule changes. Aggregate only."
Building Permit Group,Toronto/GTA permit consultant,sent,,2026-08-27,initial permit requirement determination,,,,,,,,,,,,awaiting_reply,E0,,,,,,Requested 5–20 representative de-identified historical cases for Toronto/Mississauga/Ottawa overlap.
Urbanisme Michel Brisson,Quebec permit/urbanism consultant,sent,,2026-08-27,initial municipal requirement determination,,,,,,,,,,,,awaiting_reply,E0,,,,,,French outreach requested 5–20 representative de-identified cases for Gatineau/Laval/Longueuil overlap.
Montsera Permit Solutions,BC permit concierge,sent,,2026-08-27,initial permit requirement determination,,,,,,,,,,,,awaiting_reply,E0,,,,,,Requested 5–20 representative de-identified historical cases for Vancouver overlap.
Tesbee Consultancy,multi-client estimating,sent,,2026-08-27,residential renovation estimate before quote finalization,,,,,,,,,,,,awaiting_reply,E0,,,,,,Asked recent complete-month Toronto/Mississauga estimate-volume bucket and subset requiring manual permit-applicability research.
Lakeshore Estimating,multi-client estimating,sent,,2026-08-27,residential renovation estimate before quote finalization,,,,,,,,,,,,awaiting_reply,E0,,,,,,Asked recent complete-month Toronto/Mississauga estimate-volume bucket and subset requiring manual permit-applicability research.
Estimators Forte,GTA estimating / Ontario code,sent,,2026-08-27,residential renovation estimate before quote finalization,,,,,,,,,,,,awaiting_reply,E0,,,,,,Asked recent complete-month Toronto/Mississauga estimate-volume bucket and subset requiring manual permit-applicability research.
Janine Chambers,Jobber multi-client implementation consultant,sent,,2026-08-27,request/on-site assessment -> quote/job,,,,,,,,,,,,awaiting_reply,E0,,,,,,Canadian Jobber consultant publicly reports helping hundreds of users; asked bounded cross-client permit-research incidence. No customer recruitment requested.
Permitio,Jobber / ServiceTitan / Housecall Pro permit operations,replied_closed,human_workflow_boundary,2026-08-27,downstream permit-positive intake / filing,,,,,,,,,,,,closed_no_further_contact,E1,,,,,,"Founder stated contractor jobs already require permits and contractors know which permit. No denominator/timeframe, so E1 only. Follow-up volume request was declined as internal competitor information; replied politely and closed thread. Strong negative channel evidence; do not contact further."
