public_taxonomy_label,projectpermit_family,usable_fact_signal,signal_strength,still_missing_for_key_quebec_rules,evidence_boundary
"Création ouverture de portes et/ou de fenêtres",window_door,"new_opening=true / changed-opening action",STRONG,"Gatineau property overlay; Laval lot-line/property context can still matter","Public contractor/service taxonomy demonstrates routing label exists; not proof every inbound lead stores it identically or exposes it to partners/API"
"Sciage de béton et ajout de fenêtre",window_door,"new_opening=true; material wall-opening work is explicit",STRONG,"Property/overlay context can still matter","Public contractor/service taxonomy only"
"Rénovations intérieures - Sans Plomberie/ Électricité/Structure",interior_renovation,"structural_change=false and no plumbing/electrical scope are strongly suggested",STRONG,"Gatineau still needs estimated_cost_cad for general exemption path; Laval exact action/room facts can matter","Label semantics are strong but not a verified ProjectPermit-ready record"
"Rénovations - Cuisine (avec électricité / plomberie)",kitchen_bath_plumbing,"plumbing/electrical work is involved",MEDIUM,"Does not prove plumbing relocation vs fixture replacement, structural change, or Gatineau cost","Do not map involvement directly to plumbing_change=true without record detail"
"Rénovations - Cuisine (sans électricité / plomberie)",kitchen_bath_plumbing,"no electrical/plumbing work is strongly suggested",MEDIUM_STRONG,"Structural/wall changes and Gatineau cost may still be missing","Taxonomy may reduce follow-up but not fully determine permit path"
"Rénovations - Salle de bain (avec électricité / plomberie)",kitchen_bath_plumbing,"plumbing/electrical work is involved",MEDIUM,"New bathroom vs renovate existing; relocation; structural changes; Gatineau cost","Taxonomy does not distinguish all permit-relevant plumbing actions"
"Rénovations - Salle de bain (sans électricité / plomberie)",kitchen_bath_plumbing,"no electrical/plumbing work is strongly suggested",MEDIUM_STRONG,"New-vs-existing room/action and structural changes can still matter","Not a complete rule input"
"Rénovations - Sous-sol (avec électricité / plomberie)",basement,"plumbing/electrical involvement",MEDIUM,"Laval room_count_change + structural_change; Gatineau cost/structure","Does not establish room-count/structural facts"
"Rénovations - Sous-sol (sans électricité / plomberie)",basement,"no plumbing/electrical work is strongly suggested",MEDIUM,"Laval room_count_change + structural_change; Gatineau cost/structure","Still insufficient for Laval's explicit no-permit branch"
"Patio - Au sol",deck_porch,"family=deck_porch; ground-level subtype",MEDIUM,"Laval yard; PIIA; exact project location; Gatineau property overlay","Useful family subtype but not enough for all Quebec rules"
"Patio - Sur un toît",deck_porch,"family=deck_porch; rooftop subtype",MEDIUM,"Laval current rule is yard-oriented; property/overlay facts","May not map cleanly to current deterministic branch"
"Agrandissement de maison",addition,"family=addition",STRONG,"Property overlays may add review but core permit-positive route is low-friction","One of the clearest one-shot routing candidates"
"Cabanon",accessory_structure,"accessory_structure_kind=shed",STRONG,"Gatineau permanence; Laval accessory_area_m2 + PIIA","Kind is useful but area/permanence remain missing"
