evidence_item,public_signal,projectpermit_relevance,evidence_class,boundary,source
operator_scale,"RenovationFind currently states 2,500+ certified contractors across Canada",Independent national operator context,public_structural_context,"Contractor count is not unique project volume or E2",https://www.renovationfind.com/
upstream_posting,"Homeowners post a renovation project with scope, budget, timeline and contact preferences",Current-family candidate intake exists before contractor routing,public_workflow_context,"Public wording does not provide a bounded monthly denominator",https://www.renovationfind.com/products/lead-generation
concierge_qualification,"RenovationFind says its concierge team contacts the homeowner directly to qualify the project",Human pre-routing insertion point where permit uncertainty could theoretically be identified,public_workflow_context,"Does not prove permit applicability is checked or material",https://www.renovationfind.com/products/lead-generation
internal_fit_assessment,"The team assesses project fit before qualified opportunities are passed onward",Potential material routing/qualification stage,public_workflow_context,"No evidence that permit status currently changes the assessment",https://www.renovationfind.com/products/lead-generation
smart_matching,"Projects are matched by trade specialty, service area and current availability",A permit signal could only matter if it changes this or another measured operator action,public_workflow_context,"No public proof of a permit-specific routing dimension",https://www.renovationfind.com/products/lead-generation
coverage,"Current city index includes Toronto, Ottawa, Mississauga and Vancouver",Overlaps four current ProjectPermit jurisdictions,public_coverage_context,"City directory coverage is not lead volume",https://www.renovationfind.com/cities-index
family_basement,"Current Toronto basement category includes basement finishing and legal-suite use cases",Maps to basement / dwelling-change-adjacent candidate work,public_category_context,"Category page is not a representative request sample",https://www.renovationfind.com/on/toronto/Basement-Renovations
family_kitchen,"Current Toronto kitchen category is active",Maps to kitchen_bath_plumbing candidate work,public_category_context,"Category does not prove plumbing relocation or decision facts",https://www.renovationfind.com/on/toronto/Kitchen-Renovations
family_addition,"Current Toronto home-addition/full-house-renovation category is active",Maps directly to addition and adjacent major-renovation candidates,public_category_context,"Category page is not E2/E3",https://www.renovationfind.com/on/toronto/home-additions-and-full-house-renovations
family_windows_doors,"Current exterior-renovation pages explicitly include windows and doors",Maps to window_door candidate work,public_category_context,"Does not distinguish same-size replacement from new/enlarged opening",https://www.renovationfind.com/on/toronto/exterior/renovations
initial_form,"Public Post a Project first step visibly collects postal code and contact details; product copy says scope/timeline/budget are collected",Shows some location + scope intake already exists,public_form_context,"Full decision-fact surface across later form steps was not established in this review",https://www.renovationfind.com/post-a-project
outreach,"Bounded complete-month E2 question sent to info@renovationfind.com on 2026-08-28; no immediate delivery failure observed",Requests unique current-family volume plus unresolved pre-routing permit-applicability count,E0_outreach,"Sent message is not E2 until a bounded human/operator answer is received",gmail:1a04a07a75bd05e3
