claim,public_evidence,independent_evidence,decision_use
"Automatically determines required permits from new project","Current PlanEdge Workflow Automation page reverified 2026-08-28: when a new project is added, PlanEdge automatically determines what permits are needed; intelligent intake determines all required permits","None found in current public review","Exact functional overlap remains current; high priority"
"Requirements based on project type + municipality + scope","Current Smart Checklists copy reverified 2026-08-28: permit requirements are auto-populated based on project type, municipality, and scope","None found","Exact input-shape overlap with ProjectPermit remains current"
"444+ Canadian municipalities","Current website, story page, FAQ and municipality-guide page all continue to claim 444+ Canadian municipalities/jurisdictions","No independent coverage verification found","Do not treat as proven production scale until corroborated"
"Open REST API","Current Integrations page says Open API / RESTful API connects PlanEdge to internal systems or ERP; surrounding integration examples describe permit status, documents, inspection dates and feedback synchronization","No public API docs, endpoint schema, developer portal, or requirement-engine request/response contract found in current review","Critical boundary remains unresolved: public API existence is current, but requirement-engine access is not proven"
"Workflow/Integration interactive demos","Current Workflow Automation, Integration Hub and several role-specific dashboard pages say Interactive Demo Coming Soon","No independent interactive product demo found","Weakens inference that every advertised interface is independently verifiable/delivered today; do not equate marketing copy with production surface"
"National contractor/homebuilder customers","Current site continues to show role-based testimonials such as National HVAC Contractor, National General Contractor and Regional Homebuilder, but people/companies remain unnamed or abbreviated","No independently named customer case study found","Do not count as E2/E4 adoption evidence"
"Founded Toronto 2022; platform launched 2023; 444+ by 2024","Current Our Story page states this delivery timeline","Independent production-history corroboration remains thin","Vendor-asserted delivery history only"
"Thousands of permit applications used for analytics","Current Analytics page says its engine learns from thousands of permit applications across Canadian municipalities","No external dataset/customer corroboration found","Do not use as volume denominator"
"Dedicated permit specialist assigned","Current contact/enterprise copy says dedicated permit specialist from day one; homeowner page says a real permit specialist handles the file","Consistent with managed-service model","Confirms human-assisted delivery remains central; weakens inference that all requirement determination is unattended/self-serve"
"Homeowner free assessment identifies every required permit","Current Property Owners page says PlanEdge assesses project, identifies every required permit, and offers a free permit assessment before commitment","No independent assessment output found","Strong product overlap but still not external API proof"
"Current integration examples are downstream permit-data synchronization","Current Integrations page describes approved/rejected permit information flowing into project tools, permit status/documents/inspection dates syncing to Procore, drawing submission/feedback via Autodesk ACC, plus generic Open API","No public evidence that third-party software can call scope/location -> required permits directly","Supports keeping the external machine-contract wedge unresolved rather than assuming exact API competition"
