site_or_network,current_family_relevance,ownership_or_data_control_status,central_data_signal,public_form_or_niche_signal,evidence_class,notes
Oolong Media network,multi-family potential,operator_level_verified,"Oolong says it launched 50+ quote comparators; historical recruiting page says sites generated thousands of request forms/month and requests were sold/transmitted to partners","Renovation listed as current sector; historical niche list includes basement, plumbing, doors/windows, kitchen, bathroom and more",public_structural_context,"Not E2; current active portfolio/current-family denominator unknown"
Soumissions Cuisine,kitchen_bath_plumbing,oolong_owner_verified,"Terms name Oolong Media Inc as owner/data collector; database requests use admin@soumissionsmaison.com; contact@soumissionsmaison.com","Current site/form covers kitchen renovation, plumbing/fixtures and project details",public_structural_context,"Current-family upstream funnel; no current monthly denominator"
Soumissions Plomberie,kitchen_bath_plumbing,oolong_owner_verified,"Terms name Oolong Media Inc as owner/data collector; database requests use admin@soumissionsmaison.com","Quebec plumbing quote funnel; Oolong collects/transfers/stores quote data",public_structural_context,"Current-family upstream funnel; no current monthly denominator"
Soumissions Salle de Bain,kitchen_bath_plumbing,ownership_unverified_in_current_review,"Terms retrieval not reliable in this review","Current form exposes service type, bathroom area, floor-plan change, plan availability and detailed description",public_form_context,"Do not aggregate into Oolong denominator until ownership/data path verified"
Soumissions Portes et Fenetres,window_door,ownership_unverified_in_current_review,"Terms retrieval not reliable in this review","Current form exposes service type, window/door counts, materials, work type and detailed description",public_form_context,"Does not by itself resolve same-size replacement vs new/enlarged opening"
Quebec Toiture,not_counted_as_current_family,oolong_owner_verified,"2025 terms name Oolong Media Inc as owner; database requests use admin@soumissionsmaison.com","Quote funnel / data collection pattern",public_structural_context,"Used only to establish shared operator/data pattern; not current-family volume"
Pieux de Fondation,adjacent_structural_relevance_not_counted,oolong_owner_verified,"2025 terms name Oolong Media Inc as owner; database requests use admin@soumissionsmaison.com","Foundation quote funnel / central collection and partner transmission",public_structural_context,"Do not count as current-family denominator without explicit mapping"
Quebec Soumission,general_multi_service,oolong_owner_verified,"2024 terms name Oolong Media Inc as owner; database requests use admin@soumissionsmaison.com","General quote collection and routing",public_structural_context,"Potential aggregation surface; current-family share unknown"
Soumissions Demenageurs,not_relevant,oolong_data_controller_verified,"Privacy policy says Oolong Media Inc collects/manages user information for the site","Moving quote funnel",public_structural_context,"Pattern evidence only; exclude from ProjectPermit denominator"
Soumissions.net,multi-family network context,oolong_created_ownership_unverified,"Current footer credits site creation to Oolong Media; Terms refer only to Soumissions.net and do not identify Oolong as owner/data controller","Current site claims 200k+ submissions, 600+ partners, 300+ sites, 100+ service categories and exposes addition/garage/shed/plumbing/basement renovation categories",public_network_context,"Do not add 200k or 300-site figures to Oolong denominator without ownership/data-control or shared-integration confirmation"
Oolong top renovation client case,renovation_economic_context,operator_case_study,"Oolong 2025 article presents fixed-price lead model","3,700 quote requests; C$35/request; ~C$130k annual spend; 75% claimed conversion; >C$1.5M claimed revenue",vendor_case_study_not_E2_E5,"If 3,700 is annual then ~308 partner-delivered leads/month; do not equate partner-delivered copies with unique project submissions"
