priority,target,role,public_evidence,status,rescue_gate,negative_or_kill_condition
1,SoumissionRénovation / RenoQuotes,province-wide aggregation buyer,"Quebec-wide renovation marketplace; public 2025 report says 155,000 projects and 17,500 certified contractors; public covered-city/current-family denominator unavailable",already_contacted_2026-08-28,"Bounded complete-month Quebec current-family pre-contract uncertainty >=500/month plus explicit API/integration preference and reason existing municipal/consumer tools do not fit","Low qualifying incidence; permit applicability already known/downstream; no integration interest; existing tools sufficient"
2,Québec Rénovation,province-wide upstream quote marketplace,"Public site says 12,000 requests/year, 985 partners and a homeowner intake flow where service + project details are captured before local contractors send estimates; current-family-like categories include basement, garage/addition, doors/windows, plumbing/kitchen/bath and patio/deck",contacted_2026-08-28_bounded_upstream_e2_question,"Recent complete-month current-family-like request denominator plus unresolved pre-routing permit-applicability count; >=500 qualifying monthly events is minimum rescue signal and a concrete workflow/integration reason must still follow","Permit need is rarely checked/needed before routing, is almost always already known, qualifying current-family volume is small, or platform has no reason to automate the decision"
3,Besoindunentrepreneur.com / Optilog,province-wide upstream quote/referral network,"Public site says 30,000 Quebec contractors; homeowner requests are routed by service/locality; privacy policy confirms project/property fields including project type, budget, property characteristics, renovation history and plans/images",contacted_2026-08-28_bounded_upstream_e2_question,"Recent complete-month current-family-like request denominator plus unresolved pre-routing permit-applicability count and a practical automation insertion point","Permit applicability is not part of routing/quote workflow, usually already known, qualifying incidence is too small, or the network sees no value in another decision layer"
4,Elper,Quebec contractor-software buyer,"Quebec contractor-management SaaS with quote approval -> project workflow and broad customer footprint",already_contacted_2026-08-28_auto_receipt_only,"Repeated cross-customer pre-quote uncertainty plus external-maintenance preference and feasible integration route","Internal/local logic preferred; permit decision rare/downstream; no practical integration route"
5,PG Solutions / AccèsCité Territoire,Quebec permit-system exact API boundary,"45+ years and 1,000+ active Quebec municipal/MRC clients by vendor claim; AccèsCité Territoire includes Permit + Urbanism modules, online permit requests and automated issuance/payment; independent public evidence shows municipal deployments and third-party permit integration/API references; no public pre-application applicability endpoint found",contacted_2026-08-28_preapplication_permit_api_boundary,"APIs remain dossier/workflow/record integrations only and an independent contractor/software buyer still identifies a repeated upstream decision gap","PG Solutions already exposes configured permit/urbanism applicability or requirements to third-party contractor/proptech software before dossier creation at practical coverage/economics"
6,Munia / Carange Solutions,Quebec municipal regulatory-AI API boundary,"120+ municipalities/MRC/public organizations by current vendor claim with independent municipal procurement records; source-grounded local-regulation assistants; custom agents; API/OAuth/custom-schema integration into existing software; municipal/urbanism use includes preliminary permit-file review but no public contractor-facing cross-city applicability contract found",contacted_2026-08-28_third_party_api_boundary,"Munia remains municipality-side/downstream and an independent contractor/software buyer explicitly values an external normalized pre-quote applicability contract across cities","Munia already exposes practical third-party contractor/proptech permit-applicability output across municipalities at workable economics or buyers consider Munia/local assistants sufficient"
7,Vantage,Quebec source-grounded AI contractor-software build-vs-buy comparator,"Quebec contractor SaaS bundles AI quotes and regulatory assistant with exact LégisQuébec article citations, official links and no-fabricated-citation fallback at low monthly pricing; current public coverage is RBQ/CCQ/CNESST rather than municipal permit applicability",contacted_2026-08-28_build_vs_buy,"Vantage or comparable source-grounded vertical SaaS says municipal source fragmentation/versioning makes external deterministic API preferable and identifies a repeated pre-quote insertion point","Vantage says municipal rules can be cheaply added to its existing source-grounded stack, external API dependency is inferior, deterministic/version history is not valued, or applicability is too infrequent"
8,SubmitX,Quebec AI contractor-software build-vs-buy comparator,"Quebec ERP has AI quotes, plan/document analysis, jobsite address + work-line inputs and RBQ/CCQ/CNESST regulatory-compliance evaluation; no public municipal permit-applicability feature found; vendor claims 300+ contractors but independent mobile adoption signals are very small",contacted_2026-08-28_build_vs_buy,"SubmitX or comparable Quebec vertical SaaS says municipality-by-municipality maintenance/evidence makes an external deterministic API preferable and identifies a repeated pre-quote insertion point","SubmitX says municipal permit logic is cheap/easy to internalize in its existing Claude quote/compliance stack, deterministic evidence is not valued, or applicability is too rare for another dependency"
9,Assistant Rénovation QC,multi-municipality competitor/API boundary,"Homeowner-facing permit/subsidy assistant tracking 69 Quebec municipalities; no public developer/partner API found in current scan",public_api_boundary_unverified,"Public/private delivery remains consumer-only and a real B2B buyer independently values deterministic cross-municipality API output","Partner/API/white-label permit output already exists at practical economics or buyers consider it sufficient"
10,APCHQ / representative renovator research,neutral incidence measurement,"APCHQ represents 28,000+ residential construction/renovation businesses across 13 regional associations",contacted_service_economique_2026-08-28,"Representative bounded data shows material pre-contract permit-applicability uncertainty and current-family fit","Representative evidence shows permit applicability usually known or too rare before contract"
11,BuilderAI,build-vs-buy comparator,"Quebec-native contractor software embeds municipal urbanism/permit reasoning before quote",already_contacted_competitive_falsification,"BuilderAI or comparable Quebec software says cross-municipality maintenance/evidence makes external API preferable","Vertical software can cheaply/reliably internalize relevant municipal logic and sees insufficient value in external layer"
12,Cloudpermit,Canadian municipal permitting-platform API boundary,"Mature Canadian building/planning permitting SaaS with configurable application requirements, local-code NoVa AI, municipal portals, automatic eligible issuance and third-party API integration; public API examples are workspace/property/inspection/billing oriented and no Quebec customer or pre-application applicability endpoint was found in current review",contacted_2026-08-28_preapplication_api_boundary,"Cloudpermit remains downstream/workspace-centric and Quebec software buyers independently identify an upstream pre-quote decision gap","Cloudpermit exposes pre-application permit requirement/applicability output to contractor software at practical economics or expands into Quebec with equivalent local-code coverage"
13,RBQ API Developer Portal,public API infrastructure boundary,"Quebec government API portal supports signup/product discovery but no municipal residential permit-applicability product found in reviewed public catalog",public_infrastructure_only,"No score benefit by itself; only relevant if a buyer needs an external municipal applicability contract the portal does not provide","A government/public API appears that directly supplies cross-municipality permit-applicability output"
