evidence_dimension,current_public_signal,projectpermit_interpretation,evidence_class,unresolved_proof
operator_role,"Legally constituted intermediary; collects homeowner service/project data and sends requests to relevant service providers","Independent upstream pre-contract operator route",public_structural_context_not_E2,"Unique current-family monthly denominator"
pre_routing_analysis,"Partner page says all quote requests are analyzed by internal team before routing; six extra questions support seriousness filtering","Real operator-controlled insertion point exists before contractor delivery",public_structural_context_not_E3,"Whether permit applicability is currently unresolved and changes analysis/routing"
matching_logic,"Requests matched to contractor neighborhood/territory, requested expertise and availability","Existing routing decision can theoretically consume another qualification signal",public_structural_context_not_E3,"Permit result material effect on contractor category/filtering/follow-up"
commercial_denominator_concept,"Annual flat contractor price varies with territory, services and number of annual invitations promised","Operator already measures downstream invitation volume commercially",public_commercial_context_not_E2,"Must de-duplicate to unique upstream candidate projects; invitation copies are not preflight calls"
partner_competition,"Goal is about three homeowner bids; contractor competes with about two others on average","Confirms downstream duplication risk",public_structural_context_not_E2,"Actual delivery multiplier by current-family request"
geographic_overlap,"Current cities include Laval; Longueuil; Ottawa; Gatineau among others","Direct overlap with four current ProjectPermit jurisdictions",public_structural_context_not_E2,"Share of unique relevant requests actually inside supported municipal boundaries"
family_coverage,"Addition/extension; garage; patio/balcony/terrace; basement finishing; doors/windows; kitchen; bathroom; general renovation","Strong current-family/current-family-adjacent service taxonomy",public_schema_context_not_E3,"Representative family mix and safe garage normalization"
base_intake,"Address; postal code; timing; broad work type","Address availability improves normalization/property lookup potential",public_schema_context_not_E3,"Per-record completeness and exact municipality resolution"
service_intake,"Required project description + project budget + optional project documents for displayed service sections","Richer fact surface than postal-code-only marketplaces",public_schema_context_not_E3,"Representative decision-fact sufficiency rate"
budget_field,"Each displayed service asks 'Quel est votre budget?'","Potential Gatineau cost signal but not safe to map automatically to total labour+materials estimated_cost_cad",public_schema_context_not_E3,"Operator definition / historical validation of budget semantics"
window_example,"Public example includes replacing windows and enlarging a basement window","Existing descriptions are intended to capture permit-critical action detail",public_form_example_not_E3,"How often real chronological records explicitly state same-size/new/enlarged opening facts"
basement_example,"Public example describes subdividing basement into office/game/cinema/exercise/cellar uses","Descriptions may expose room/use changes",public_form_example_not_E3,"How often real records expose room-count/structural facts"
kitchen_bath_examples,"Examples include full rearrangement, fixtures/plumbing and budgets","Descriptions may expose within-family action facts",public_form_example_not_E3,"New-vs-existing bathroom; plumbing relocation/extension; structural/wall facts"
outreach,"Bounded E2 question sent 2026-08-28 to info@gosoumissions.com; Gmail message 1a049f903bc56462; no immediate bounce observed in first check","Active independent denominator/uncertainty validation route",E0,"Human response with bounded complete-month counts"
