scenario,lead_or_routing_value_cad,call_price_cad,material_hit_rate_pct,breakeven_value_fraction_pct,required_value_per_material_hit_cad,evidence_class,notes
lead_value,5,0.10,,2.0,,sensitivity,"Low-value connection anchor; not current SoumissionRenovation tariff evidence"
lead_value,5,0.25,,5.0,,sensitivity,"Low-value connection anchor; not current SoumissionRenovation tariff evidence"
lead_value,5,0.50,,10.0,,sensitivity,"Low-value connection anchor; not current SoumissionRenovation tariff evidence"
lead_value,25,0.10,,0.4,,sensitivity,"Mid-case lead/routing value anchor"
lead_value,25,0.25,,1.0,,sensitivity,"Mid-case lead/routing value anchor"
lead_value,25,0.50,,2.0,,sensitivity,"Mid-case lead/routing value anchor"
lead_value,50,0.10,,0.2,,sensitivity,"Higher shared-renovation-lead/acquisition-cost proxy; not universal lead value"
lead_value,50,0.25,,0.5,,sensitivity,"Higher shared-renovation-lead/acquisition-cost proxy; not universal lead value"
lead_value,50,0.50,,1.0,,sensitivity,"Higher shared-renovation-lead/acquisition-cost proxy; not universal lead value"
material_hit,,,1, ,10.00,sensitivity,"Required value per materially improved lead at $0.10/call"
material_hit,,,1, ,25.00,sensitivity,"Required value per materially improved lead at $0.25/call"
material_hit,,,1, ,50.00,sensitivity,"Required value per materially improved lead at $0.50/call"
material_hit,,,2, ,5.00,sensitivity,"Required value per materially improved lead at $0.10/call"
material_hit,,,2, ,12.50,sensitivity,"Required value per materially improved lead at $0.25/call"
material_hit,,,2, ,25.00,sensitivity,"Required value per materially improved lead at $0.50/call"
material_hit,,,5, ,2.00,sensitivity,"Required value per materially improved lead at $0.10/call"
material_hit,,,5, ,5.00,sensitivity,"Required value per materially improved lead at $0.25/call"
material_hit,,,5, ,10.00,sensitivity,"Required value per materially improved lead at $0.50/call"
material_hit,,,10, ,1.00,sensitivity,"Required value per materially improved lead at $0.10/call"
material_hit,,,10, ,2.50,sensitivity,"Required value per materially improved lead at $0.25/call"
material_hit,,,10, ,5.00,sensitivity,"Required value per materially improved lead at $0.50/call"
material_hit,,,20, ,0.50,sensitivity,"Required value per materially improved lead at $0.10/call"
material_hit,,,20, ,1.25,sensitivity,"Required value per materially improved lead at $0.25/call"
material_hit,,,20, ,2.50,sensitivity,"Required value per materially improved lead at $0.50/call"
